ts_code,trade_date,open,high,low,close,change,pct_change,vol
000937,20260320,5.8,5.88,5.7,5.75,-0.08999999999999986,-1.5410958904109595,35593358.0
000937,20260319,5.81,5.87,5.77,5.84,0.07000000000000028,1.2131715771230622,31261200.0
000937,20260318,5.8,5.88,5.71,5.77,-0.040000000000000036,-0.688468158347677,30734779.0
000937,20260317,5.85,5.91,5.79,5.81,-0.05000000000000071,-0.8532423208191253,29598988.0
000937,20260316,5.97,6.03,5.84,5.86,-0.09999999999999964,-1.6778523489932806,40241557.0
000937,20260313,6.02,6.07,5.95,5.96,-0.04999999999999982,-0.8319467554076532,46292557.0
000937,20260312,5.87,6.11,5.81,6.01,0.20000000000000018,3.4423407917383964,81907625.0
000937,20260311,5.72,5.83,5.62,5.81,0.07999999999999918,1.39616055846421,42918838.0
000937,20260310,5.71,5.83,5.71,5.73,-0.13999999999999968,-2.3850085178875546,45881934.0
000937,20260309,6.02,6.05,5.85,5.87,0.11000000000000032,1.909722222222232,70507870.0
000937,20260306,5.76,5.79,5.68,5.76,-0.04999999999999982,-0.8605851979345935,30889559.0
000937,20260305,5.88,5.88,5.7,5.81,-0.09000000000000075,-1.5254237288135686,39828857.0
000937,20260304,5.88,5.96,5.72,5.9,-0.04999999999999982,-0.8403361344537785,50908439.0
000937,20260303,5.85,6.05,5.81,5.95,0.1200000000000001,2.0583190394511064,85808581.0
000937,20260302,5.85,5.88,5.73,5.83,0.07000000000000028,1.2152777777777901,44192270.0
000937,20260227,5.65,5.77,5.63,5.76,0.10999999999999943,1.9469026548672552,28056905.0
000937,20260226,5.7,5.76,5.62,5.65,-0.04999999999999982,-0.877192982456132,23048173.0
000937,20260225,5.68,5.77,5.64,5.7,0.040000000000000036,0.7067137809187329,32245842.0
000937,20260224,5.57,5.68,5.56,5.66,0.14000000000000057,2.5362318840579823,30306066.0
000937,20260213,5.58,5.61,5.51,5.52,-0.08000000000000007,-1.4285714285714346,19840878.0
000937,20260212,5.62,5.65,5.56,5.6,0.0,0.0,19897436.0
000937,20260211,5.52,5.63,5.49,5.6,0.08000000000000007,1.449275362318847,29541985.0
000937,20260210,5.51,5.55,5.44,5.52,0.009999999999999787,0.1814882032667775,21392414.0
000937,20260209,5.52,5.54,5.49,5.51,0.009999999999999787,0.1818181818181719,19518987.0
000937,20260206,5.5,5.55,5.45,5.5,-0.040000000000000036,-0.7220216606498187,23311678.0
000937,20260205,5.6,5.6,5.47,5.54,-0.1299999999999999,-2.2927689594356204,40073013.0
000937,20260204,5.38,5.68,5.36,5.67,0.3099999999999996,5.7835820895522305,67635227.0
000937,20260203,5.38,5.41,5.32,5.36,0.010000000000000675,0.18691588785046953,18940290.0
000937,20260202,5.54,5.56,5.32,5.35,-0.25,-4.46428571428571,44175206.0
000937,20260130,5.65,5.78,5.57,5.6,-0.03000000000000025,-0.5328596802841923,39725810.0
000937,20260129,5.64,5.71,5.58,5.63,-0.009999999999999787,-0.17730496453900457,34239889.0
000937,20260128,5.44,5.64,5.43,5.64,0.1899999999999995,3.4862385321100753,40014960.0
000937,20260127,5.56,5.56,5.41,5.45,-0.10999999999999943,-1.978417266187038,22423417.0
000937,20260126,5.51,5.57,5.48,5.56,0.04999999999999982,0.9074410163339319,26431969.0
000937,20260123,5.52,5.52,5.47,5.51,0.0,0.0,15720470.0
000937,20260122,5.44,5.51,5.42,5.51,0.05999999999999961,1.1009174311926495,23273174.0
000937,20260121,5.46,5.46,5.41,5.45,-0.019999999999999574,-0.3656307129798808,13015390.0
000937,20260120,5.41,5.48,5.4,5.47,0.0699999999999994,1.2962962962962843,22727210.0
000937,20260119,5.31,5.41,5.31,5.4,0.07000000000000028,1.3133208255159623,16449320.0
000937,20260116,5.39,5.4,5.32,5.33,-0.05999999999999961,-1.1131725417439675,16951272.0
000937,20260115,5.43,5.44,5.38,5.39,-0.05000000000000071,-0.9191176470588314,17394146.0
000937,20260114,5.45,5.49,5.41,5.44,-0.040000000000000036,-0.7299270072992692,20662290.0
000937,20260113,5.51,5.51,5.46,5.48,-0.019999999999999574,-0.3636363636363549,19548232.0
000937,20260112,5.51,5.52,5.47,5.5,0.0,0.0,22415427.0
000937,20260109,5.47,5.51,5.43,5.5,0.03000000000000025,0.5484460694698434,23381673.0
000937,20260108,5.52,5.54,5.46,5.47,-0.03000000000000025,-0.545454545454549,28265107.0
000937,20260107,5.39,5.5,5.36,5.5,0.1299999999999999,2.4208566108007368,41637613.0
000937,20260106,5.32,5.37,5.31,5.37,0.04999999999999982,0.9398496240601517,19209479.0
000937,20260105,5.39,5.4,5.32,5.32,-0.05999999999999961,-1.1152416356877248,24230670.0
000937,20251231,5.41,5.41,5.36,5.38,-0.020000000000000462,-0.37037037037037646,10766660.0
000937,20251230,5.41,5.43,5.37,5.4,-0.02999999999999936,-0.5524861878452914,11801528.0
000937,20251229,5.42,5.46,5.39,5.43,0.019999999999999574,0.3696857670979492,15204070.0
000937,20251226,5.38,5.43,5.38,5.41,0.020000000000000462,0.37105751391466324,16465964.0
000937,20251225,5.37,5.39,5.34,5.39,0.02999999999999936,0.5597014925373012,11508729.0
000937,20251224,5.35,5.37,5.32,5.36,0.010000000000000675,0.18691588785046953,11135903.0
000937,20251223,5.37,5.39,5.33,5.35,-0.010000000000000675,-0.1865671641791189,14628500.0
000937,20251222,5.37,5.39,5.35,5.36,0.0,0.0,15022900.0
000937,20251219,5.31,5.37,5.27,5.36,0.040000000000000036,0.7518796992481258,16118173.0
000937,20251218,5.3,5.34,5.29,5.32,0.03000000000000025,0.5671077504725952,19988074.0
000937,20251217,5.29,5.31,5.22,5.29,-0.019999999999999574,-0.37664783427494575,21003891.0
000937,20251216,5.35,5.35,5.27,5.31,-0.0600000000000005,-1.1173184357541999,23755832.0
000937,20251215,5.43,5.45,5.34,5.37,-0.05999999999999961,-1.104972375690605,31849111.0
000937,20251212,5.45,5.46,5.36,5.43,-0.020000000000000462,-0.3669724770642313,46960485.0
000937,20251211,5.57,5.57,5.42,5.45,-0.1200000000000001,-2.1543985637342944,30431261.0
000937,20251210,5.63,5.63,5.53,5.57,-0.08000000000000007,-1.415929203539823,22603870.0
000937,20251209,5.79,5.79,5.61,5.65,-0.14999999999999947,-2.5862068965517127,30140894.0
000937,20251208,5.84,5.85,5.79,5.8,-0.04999999999999982,-0.8547008547008517,16052271.0
000937,20251205,5.86,5.86,5.8,5.85,-0.010000000000000675,-0.17064846416383617,14382228.0
000937,20251204,5.92,5.92,5.83,5.86,-0.04999999999999982,-0.8460236886632777,14924430.0
000937,20251203,5.88,5.93,5.87,5.91,0.03000000000000025,0.5102040816326481,18424884.0
000937,20251202,5.91,5.92,5.86,5.88,-0.03000000000000025,-0.5076142131979711,15080829.0
000937,20251201,5.92,5.95,5.87,5.91,0.0,0.0,22301322.0
