ts_code,trade_date,open,high,low,close,change,pct_change,vol
600760,20260320,49.4,47.42,47.58,49.69,-1.0,-1.9727756954034281,27270878.0
600760,20260319,50.48,49.44,49.49,50.69,-0.20000000000000284,-0.393004519551976,13801886.0
600760,20260318,50.5,49.8,50.87,50.89,-0.3200000000000003,-0.6248779535247051,15843814.0
600760,20260317,51.02,50.32,50.5,51.21,-0.6400000000000006,-1.2343297974927725,14972119.0
600760,20260316,51.68,50.82,51.0,51.85,-1.1099999999999994,-2.0959214501510615,16244152.0
600760,20260313,52.77,51.4,51.66,52.96,-1.0,-1.8532246108228345,21728454.0
600760,20260312,53.89,52.9,52.95,53.96,-0.490000000000002,-0.8999081726354441,16830000.0
600760,20260311,54.39,53.79,53.87,54.45,-0.4799999999999969,-0.8738394320043641,16096169.0
600760,20260310,54.0,54.0,54.39,54.93,-0.25,-0.45306270387821534,15571621.0
600760,20260309,55.0,53.7,54.19,55.18,-1.2000000000000028,-2.1284143313231696,20990623.0
600760,20260306,55.64,55.09,55.56,56.38,-0.04999999999999716,-0.08860535176323792,17833248.0
600760,20260305,56.43,55.6,55.95,56.43,-0.8999999999999986,-1.5698587127158548,21884598.0
600760,20260304,55.09,54.63,56.87,57.33,-0.5200000000000031,-0.8988764044943864,30938650.0
600760,20260303,57.85,55.6,55.74,57.85,-0.490000000000002,-0.8399040109701827,35820019.0
600760,20260302,57.56,56.22,57.95,58.34,2.1200000000000045,3.7709000355745426,63662643.0
600760,20260227,55.83,55.0,55.34,56.22,-0.1600000000000037,-0.28378857750975817,21854448.0
600760,20260226,56.2,55.51,55.83,56.38,-0.10999999999999943,-0.19472473004071844,15904195.0
600760,20260225,56.4,55.82,56.25,56.49,-0.1599999999999966,-0.28243601059134704,16844957.0
600760,20260224,55.93,55.37,56.28,56.65,0.5700000000000003,1.0164051355206816,20476719.0
600760,20260213,54.9,54.67,55.66,56.08,1.1000000000000014,2.0007275372862843,25057143.0
600760,20260212,54.81,54.3,54.86,54.98,-0.8200000000000003,-1.469534050179211,16158665.0
600760,20260211,55.78,54.76,54.82,55.8,-0.490000000000002,-0.8704920945105776,17864399.0
600760,20260210,55.67,55.0,56.08,56.29,0.3100000000000023,0.5537692032868913,23736380.0
600760,20260209,55.63,55.12,55.36,55.98,0.3499999999999943,0.6291569297141697,16562141.0
600760,20260206,55.38,54.82,55.1,55.63,-0.6199999999999974,-1.1022222222222156,14473752.0
600760,20260205,55.21,54.87,55.79,56.25,0.39000000000000057,0.698174006444674,19558438.0
600760,20260204,54.39,54.2,55.5,55.86,1.25,2.288958066288216,21787193.0
600760,20260203,53.99,53.87,54.53,54.61,-0.7000000000000028,-1.2655939251491666,17496011.0
600760,20260202,54.8,53.51,53.8,55.31,-0.44999999999999574,-0.8070301291248083,25165030.0
600760,20260130,55.5,54.3,54.98,55.76,-0.46999999999999886,-0.8358527476436062,18235888.0
600760,20260129,55.98,55.17,55.53,56.23,-0.8600000000000065,-1.5063934139078805,21022239.0
600760,20260128,57.06,55.68,55.97,57.09,-0.7099999999999937,-1.2283737024221364,30390945.0
600760,20260127,56.91,56.36,56.94,57.8,-1.970000000000006,-3.2959678768613165,26038348.0
600760,20260126,59.6,56.92,56.92,59.77,-1.029999999999994,-1.694078947368416,43156119.0
600760,20260123,60.65,59.6,59.86,60.8,-0.7900000000000063,-1.282675759051799,26393891.0
600760,20260122,59.55,59.5,60.83,61.59,0.47000000000000597,0.7689790575916344,28469176.0
600760,20260121,60.03,59.6,59.67,61.12,-1.1799999999999997,-1.8940609951845877,24049362.0
600760,20260120,60.55,59.45,60.45,62.3,-0.25,-0.3996802557953649,27894899.0
600760,20260119,58.6,58.1,61.2,62.55,1.6099999999999994,2.641942894650473,48541711.0
