ts_code,trade_date,open,high,low,close,change,pct_change,vol
2990,20200526,58.31,58.31,58.31,58.31,5.300000000000004,9.998113563478594,41198.0
2990,20200527,64.14,64.14,64.14,64.14,5.829999999999998,9.998285028297026,50194.0
2990,20200528,70.55,70.55,70.55,70.55,6.409999999999997,9.993763642033038,97318.0
2990,20200529,77.61,77.61,77.61,77.61,7.060000000000002,10.0070871722183,170656.0
2990,20200601,85.37,85.37,81.56,85.37,7.760000000000005,9.998711506249204,16524624.0
2990,20200602,85.37,89.5,83.6,84.62,-0.75,-0.878528757174657,14354827.0
2990,20200603,83.0,85.03,80.68,80.8,-3.8200000000000074,-4.514299220042551,9578458.0
2990,20200604,80.01,84.78,78.51,81.98,1.1800000000000068,1.4603960396039728,8489896.0
2990,20200605,81.13,83.8,79.81,81.25,-0.730000000000004,-0.8904610880702712,5503749.0
2990,20200608,81.8,89.38,79.81,89.38,8.129999999999995,10.006153846153843,11346984.0
2990,20200609,87.11,88.36,84.51,85.98,-3.3999999999999915,-3.803982993958366,8888390.0
2990,20200610,89.88,94.0,86.55,86.87,0.8900000000000006,1.0351244475459431,9483043.0
2990,20200611,88.89,93.0,87.0,91.45,4.579999999999998,5.2722458846552245,9070944.0
2990,20200612,88.5,96.27,86.9,94.06,2.609999999999999,2.8540185893931147,8869028.0
2990,20200615,103.47,103.47,97.02,103.47,9.409999999999997,10.0042526047204,11852686.0
2990,20200616,103.3,103.3,96.27,98.37,-5.099999999999994,-4.928964917367351,10524506.0
2990,20200617,95.95,95.95,90.05,92.06,-6.310000000000002,-6.41455728372472,9687976.0
2990,20200618,90.82,92.97,89.04,90.5,-1.5600000000000025,-1.6945470345426927,6007589.0
2990,20200619,90.0,90.86,88.33,89.06,-1.4399999999999975,-1.5911602209944695,4635752.0
2990,20200622,89.5,90.86,87.76,90.26,1.2000000000000028,1.347406242982263,5122306.0
2990,20200623,89.75,92.69,88.51,91.75,1.4899999999999949,1.6507866164413798,4990566.0
2990,20200624,91.5,93.18,89.9,90.0,-1.75,-1.9073569482288777,3922297.0
2990,20200629,88.85,89.7,85.8,85.9,-4.099999999999994,-4.5555555555555465,4848184.0
2990,20200630,86.0,88.76,86.0,87.92,2.019999999999996,2.351571594877755,3440882.0
2990,20200701,88.02,89.86,87.2,88.32,0.3999999999999915,0.4549590536851555,3366009.0
2990,20200702,88.05,91.28,87.53,90.55,2.230000000000004,2.524909420289867,4070584.0
2990,20200703,91.6,94.11,89.8,89.99,-0.5600000000000023,-0.6184428492545635,4216890.0
2990,20200706,90.06,91.68,88.0,91.37,1.3800000000000097,1.533503722635854,5186334.0
2990,20200707,92.98,97.57,91.51,93.9,2.530000000000001,2.768961365875011,6288543.0
2990,20200708,93.9,97.67,93.0,96.09,2.1899999999999977,2.332268370607027,5143604.0
2990,20200709,96.4,102.94,95.48,101.39,5.299999999999997,5.515662399833476,6460037.0
2990,20200710,102.0,104.88,98.5,98.82,-2.5700000000000074,-2.5347667422822795,5289697.0
2990,20200713,98.74,102.95,98.06,100.82,2.0,2.023881805302574,4538873.0
2990,20200714,100.1,108.9,97.7,106.84,6.02000000000001,5.971037492561004,7921341.0
2990,20200715,104.71,106.7,100.0,100.05,-6.790000000000006,-6.355297641332836,5334768.0
2990,20200716,99.91,99.91,90.05,90.05,-10.0,-9.995002498750626,5296051.0
2990,20200717,89.1,90.98,86.01,87.27,-2.780000000000001,-3.087173792337594,3480317.0
2990,20200720,87.37,89.06,86.31,88.6,1.3299999999999983,1.5240059585195365,2908610.0
2990,20200721,88.12,89.46,87.01,89.08,0.480000000000004,0.5417607223476395,2298828.0
2990,20200722,88.8,90.5,88.2,89.15,0.0700000000000073,0.0785810507409223,2683274.0
2990,20200723,88.01,88.85,84.01,86.54,-2.609999999999999,-2.9276500280426276,3412417.0
2990,20200724,85.88,87.77,81.3,82.73,-3.8100000000000023,-4.402588398428476,2727028.0
2990,20200727,83.02,83.69,80.6,83.29,0.5600000000000023,0.676900761513366,1739360.0
2990,20200728,84.0,91.62,83.17,91.62,8.329999999999998,10.001200624324635,5990550.0
2990,20200729,92.18,99.21,91.62,97.37,5.75,6.275922287710101,6201749.0
2990,20200730,96.8,99.99,96.55,97.9,0.5300000000000011,0.5443154975865339,3990525.0
2990,20200731,98.5,106.96,98.08,105.69,7.789999999999992,7.957099080694574,5563333.0
2990,20200803,108.55,116.26,108.55,116.26,10.570000000000007,10.0009461633078,6145277.0
2990,20200804,118.0,118.0,109.01,114.09,-2.1700000000000017,-1.8665061070015532,4626175.0
2990,20200805,113.43,113.43,108.7,111.17,-2.9200000000000017,-2.559382943290389,3761008.0
2990,20200806,110.51,115.3,107.68,111.0,-0.1700000000000017,-0.152918952954939,4224339.0
2990,20200807,110.51,112.99,103.25,107.8,-3.200000000000003,-2.8828828828828867,3646602.0
2990,20200810,109.07,109.98,102.73,108.25,0.4500000000000028,0.4174397031539989,2535956.0
2990,20200811,108.98,114.8,104.9,104.9,-3.3499999999999943,-3.0946882217089966,2700739.0
2990,20200812,104.06,107.92,99.8,103.58,-1.3200000000000074,-1.25834127740706,2633457.0
2990,20200813,104.0,104.75,101.56,103.66,0.0799999999999983,0.077234987449315,1490516.0
